city,unidade,lat,lng,country,iso2,state_name,state_id,population,population_proper,fatur,compras,funcion,clientes,chamados,status,modelo,
Novo Hamburgo,Novo Hamburgo,-29.683333,-51.133333,Brazil,BR,Rio Grande do Sul,RS,876990,237044,98652,9865,5,85,3,I,smart,
Vitória da Conquista,Vitória da Conquista,-14.860602,-40.842659,Brazil,BR,Bahia,BA,308204,236437,78787,7879,4,70,2,I,express,
Caruaru,Caruaru,-8.283806,-35.974222,Brazil,BR,Pernambuco,PE,242094,235371,84945,8495,3,54,2,A,express,
Várzea Grande,Várzea Grande,-15.645816,-56.132218,Brazil,BR,Mato Grosso,MT,249752,234424,45458,4546,3,53,2,A,express,
Santa Maria,Santa Maria,-29.6860512,-53.8069214,Brazil,BR,Rio Grande do Sul,RS,249219,229204,87878,8788,3,53,2,A,express,
Ipatinga,Ipatinga,-19.470369,-42.546578,Brazil,BR,Minas Gerais,MG,407894,228746,29295,2930,4,70,2,A,express,
Juazeiro do Norte,Juazeiro do Norte,-7.211555,-39.314199,Brazil,BR,Ceará,CE,225230,220492,56565,5657,4,70,2,A,express,
Uberaba,Uberaba,-19.75619,-47.932585,Brazil,BR,Minas Gerais,MG,260843,208771,65658,6566,3,53,2,A,express,
Itabuna,Itabuna,-14.78648,-39.272775,Brazil,BR,Bahia,BA,221938,205660,59598,5960,4,70,2,I,express,
Timon,Timon,-5.098189,-42.835108,Brazil,BR,Maranhão,MA,203157,203157,87879,8788,3,53,2,A,express,
Mossoró,Mossoró,-5.191389,-37.344722,Brazil,BR,Rio Grande do Norte,RN,202583,202005,78788,7879,4,68,2,A,express,
Cascavel,Cascavel,-24.9554996,-53.4560544,Brazil,BR,Paraná,PR,257172,201428,85698,8570,3,54,2,A,express,
Palmas,Palmas,-10.166944,-48.332778,Brazil,BR,Tocantins,TO,235315,196272,49857,4986,5,80,2,A,express,
Americana,Americana,-22.752784,-47.330147,Brazil,BR,São Paulo,SP,479472,196022,25458,2546,4,60,2,I,smart,
Petrolina,Petrolina,-9.392996,-40.507734,Brazil,BR,Pernambuco,PE,260985,194650,53535,5354,3,53,2,I,express,
Limeira,Limeira,-22.563182,-47.400884,Brazil,BR,São Paulo,SP,289665,192477,59595,5960,3,54,2,I,express,
Presidente Prudente,Presidente Prudente,-22.116667,-51.366667,Brazil,BR,São Paulo,SP,209502,189942,87879,8788,5,85,3,I,express,
Santarém,Santarém,-2.435899,-54.715599,Brazil,BR,Pará,PA,230428,189047,88888,8889,4,71,2,A,express,
Sete Lagoas,Sete Lagoas,-19.458338,-44.236618,Brazil,BR,Minas Gerais,MG,201334,188730,54546,5455,3,53,2,A,express,
Imperatriz,Imperatriz,-5.522465,-47.4745,Brazil,BR,Maranhão,MA,218106,188573,79785,7979,4,70,2,I,express,
Rio Claro,Rio Claro,-22.40619,-47.557706,Brazil,BR,São Paulo,SP,180147,175273,58586,5859,3,52,2,A,express,
Marília,Marília,-22.214393,-49.948493,Brazil,BR,São Paulo,SP,212218,169949,56566,5657,5,80,2,I,express,
Boa Vista,Boa Vista,2.820842,-60.671312,Brazil,BR,Roraima,RR,235150,169449,79798,7980,4,70,2,A,express,
Divinópolis,Divinópolis,-20.149747,-44.889643,Brazil,BR,Minas Gerais,MG,193832,169082,45455,4546,3,54,2,N,express,
Arapiraca,Arapiraca,-9.750035,-36.659731,Brazil,BR,Alagoas,AL,187668,166562,56566,5657,3,52,2,A,express,
Marabá,Marabá,-5.340677,-49.095483,Brazil,BR,Pará,PA,166182,166182,65659,6566,3,53,2,A,express,
Barra Mansa,Barra Mansa,-22.54925,-44.168807,Brazil,BR,Rio de Janeiro,RJ,169386,164052,53536,5354,3,53,2,N,express,
Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,-20.852906,-41.1192,Brazil,BR,Espírito Santo,ES,187019,162598,59596,5960,3,52,2,N,express,
Araçatuba,Araçatuba,-21.207992,-50.4390225,Brazil,BR,São Paulo,SP,170024,162586,52526,5253,3,52,2,I,smart,
Criciúma,Criciúma,-28.675355,-49.368291,Brazil,BR,Santa Catarina,SC,204217,161954,54546,5455,5,81,2,I,express,
Itajaí,Itajaí,-26.934507,-48.629481,Brazil,BR,Santa Catarina,SC,327126,155716,98985,9899,3,53,2,A,express,
Ilhéus,Ilhéus,-14.788949,-39.046474,Brazil,BR,Bahia,BA,230622,155499,77777,7778,4,71,2,A,express,
Nova Friburgo,Nova Friburgo,-22.28372,-42.534343,Brazil,BR,Rio de Janeiro,RJ,171991,153361,51516,5152,3,51,2,N,express,
Governador Valadares,Governador Valadares,-18.861269,-41.951338,Brazil,BR,Minas Gerais,MG,250878,151756,59595,5960,4,70,2,A,express,
Chapecó,Chapecó,-27.0922364,-52.6166878,Brazil,BR,Santa Catarina,SC,160157,149431,45459,4546,3,54,2,A,express,
Passo Fundo,Passo Fundo,-28.2550598,-52.3966606,Brazil,BR,Rio Grande do Sul,RS,179529,148565,54546,5455,3,51,2,I,express,
São Carlos,São Carlos,-22.015403,-47.888001,Brazil,BR,São Paulo,SP,205035,145403,78788,7879,4,73,2,I,express,
Rondonópolis,Rondonópolis,-16.46793,-54.641416,Brazil,BR,Mato Grosso,MT,152912,140676,54546,5455,3,54,2,A,express,
Sobral,Sobral,-3.686716,-40.351535,Brazil,BR,Ceará,CE,157996,138883,78788,7879,3,54,2,A,express,
Itu,Itu,-23.267424,-47.294306,Brazil,BR,São Paulo,SP,320170,137586,56565,5657,16,274,8,A,express,
Caxias,Caxias,-4.867909,-43.362745,Brazil,BR,Maranhão,MA,134640,134640,52526,5253,3,51,2,A,express,
Paranaguá,Paranaguá,-25.512773,-48.542707,Brazil,BR,Paraná,PR,141013,129129,59596,5960,5,80,2,N,express,
Jaraguá do Sul,Jaraguá do Sul,-26.483333,-49.066667,Brazil,BR,Santa Catarina,SC,130130,127477,65659,6566,3,52,2,N,express,
Jequié,Jequié,-13.8604033,-40.0719627,Brazil,BR,Bahia,BA,135574,127475,51516,5152,3,52,2,A,express,
Dourados,Dourados,-22.2206145,-54.812208,Brazil,BR,Mato Grosso do Sul,MS,162202,127285,59596,5960,3,54,2,A,express,
Bragança Paulista,Bragança Paulista,-22.9520235,-46.5418586,Brazil,BR,São Paulo,SP,127676,125096,89790,8979,3,53,2,N,express,
Macaé,Macaé,-22.382323,-41.775374,Brazil,BR,Rio de Janeiro,RJ,143029,123137,56566,5657,3,54,2,A,express,
Alagoinhas,Alagoinhas,-12.132504,-38.427789,Brazil,BR,Bahia,BA,124070,122688,59596,5960,3,54,2,N,express,
Pindamonhangaba,Pindamonhangaba,-22.928668,-45.457445,Brazil,BR,São Paulo,SP,132218,115752,53536,5354,3,52,2,A,express,
Itapetininga,Itapetininga,-23.587115,-48.040777,Brazil,BR,São Paulo,SP,126243,115535,85699,8570,3,54,2,A,express,
Lajes,Lajes,-27.812148,-50.315421,Brazil,BR,Santa Catarina,SC,164676,115268,85699,8570,3,53,2,A,express,
Florianópolis,Florianópolis,-27.590444,-48.57581,Brazil,BR,Santa Catarina,SC,1023000,114566,65412,6541,4,73,2,A,smart,
Parnaíba,Parnaíba,-2.909167,-41.774722,Brazil,BR,Piauí,PI,138008,113390,58586,5859,3,54,2,I,express,
Castanhal,Castanhal,-1.295297,-47.922035,Brazil,BR,Pará,PA,137406,113223,54546,5455,3,51,2,A,express,
Cabo Frio,Cabo Frio,-22.886365,-42.028794,Brazil,BR,Rio de Janeiro,RJ,261721,108239,52525,5253,3,54,2,I,express,
Santa Cruz do Sul,Santa Cruz do Sul,-29.716667,-52.433333,Brazil,BR,Rio Grande do Sul,RS,113625,106113,88889,8889,3,53,2,A,express,
Guaratinguetá,Guaratinguetá,-22.821979,-45.195296,Brazil,BR,São Paulo,SP,203580,105880,56566,5657,4,66,2,A,smart,
Poços de Caldas,Poços de Caldas,-21.786861,-46.564644,Brazil,BR,Minas Gerais,MG,146588,104409,65657,6566,3,54,2,I,express,
Garanhuns,Garanhuns,-8.886552,-36.493069,Brazil,BR,Pernambuco,PE,110085,104145,59599,5960,3,54,2,N,express,
Catanduva,Catanduva,-21.135986,-48.970331,Brazil,BR,São Paulo,SP,109612,100864,79786,7979,3,54,2,N,smart,
Bagé,Bagé,-31.3314264,-54.1062808,Brazil,BR,Rio Grande do Sul,RS,106098,98940,87880,8788,3,54,2,N,express,
Rio Grande,Rio Grande,-32.033333,-52.083333,Brazil,BR,Rio Grande do Sul,RS,187838,98462,65657,6566,3,52,2,N,express,
Apucarana,Apucarana,-23.5525327,-51.4610764,Brazil,BR,Paraná,PR,107085,98069,56567,5657,3,54,2,A,express,
Ourinhos,Ourinhos,-22.98143,-49.864721,Brazil,BR,São Paulo,SP,97799,96189,54547,5455,3,52,2,A,smart,
Guarapuava,Guarapuava,-25.3950986,-51.4622016,Brazil,BR,Paraná,PR,150850,95913,45455,4546,5,79,2,A,express,
Juazeiro,Juazeiro,-9.420649,-40.504265,Brazil,BR,Bahia,BA,95132,95132,54547,5455,3,53,2,A,express,
Conselheiro Lafaiete,Conselheiro Lafaiete,-20.668436,-43.784966,Brazil,BR,Minas Gerais,MG,111596,94256,56566,5657,3,53,2,A,express,
Barretos,Barretos,-20.554421,-48.572864,Brazil,BR,São Paulo,SP,101220,93904,54547,5455,3,51,2,I,smart,
Bento Gonçalves,Bento Gonçalves,-29.166667,-51.516667,Brazil,BR,Rio Grande do Sul,RS,94271,90852,52527,5253,4,70,2,A,express,
Pouso Alegre,Pouso Alegre,-22.230058,-45.938133,Brazil,BR,Minas Gerais,MG,115201,89834,79799,7980,3,54,2,A,express,
Trindade,Trindade,-16.653025,-49.49381,Brazil,BR,Goiás,GO,97521,88705,45456,4546,3,53,2,A,express,
Jaú,Jaú,-22.294121,-48.558334,Brazil,BR,São Paulo,SP,119206,85925,49858,4986,3,53,2,I,smart,
Paulo Afonso,Paulo Afonso,-9.438741,-38.217467,Brazil,BR,Bahia,BA,85350,85350,45456,4546,3,53,2,N,express,
Santana do Livramento,Santana do Livramento,-30.883333,-55.516667,Brazil,BR,Rio Grande do Sul,RS,89694,84930,56567,5657,3,53,2,A,express,
Arapongas,Arapongas,-23.4152862,-51.4293961,Brazil,BR,Paraná,PR,97512,84895,65658,6566,3,54,2,A,express,
Codó,Codó,-4.45559,-43.892137,Brazil,BR,Maranhão,MA,83288,83288,59597,5960,3,54,2,A,express,
Barbacena,Barbacena,-21.224743,-43.766666,Brazil,BR,Minas Gerais,MG,122211,81046,84946,8495,4,68,2,N,express,
Patos,Patos,-7.025445,-37.276728,Brazil,BR,Paraíba,PB,92575,78866,65660,6566,3,53,2,I,express,
Abaetetuba,Abaetetuba,-1.724735,-48.881345,Brazil,BR,Pará,PA,79420,78050,65660,6566,3,52,2,A,express,
Botucatu,Botucatu,-22.883468,-48.441546,Brazil,BR,São Paulo,SP,113862,76015,77778,7778,3,53,2,A,express,
Itanhaém,Itanhaém,-24.183333,-46.783333,Brazil,BR,São Paulo,SP,90385,75059,45460,4546,4,71,2,A,express,
Erechim,Erechim,-27.633333,-52.283333,Brazil,BR,Rio Grande do Sul,RS,96087,74644,58587,5859,3,53,2,A,express,
Brusque,Brusque,-27.099612,-48.910795,Brazil,BR,Santa Catarina,SC,88284,74043,78789,7879,3,53,2,A,express,
Campo Mourão,Campo Mourão,-24.046329,-52.37802,Brazil,BR,Paraná,PR,75401,72945,79800,7980,3,54,2,A,express,
Teófilo Otoni,Teófilo Otoni,-17.865665,-41.502653,Brazil,BR,Minas Gerais,MG,101170,72560,56567,5657,3,52,2,N,express,
Uruguaiana,Uruguaiana,-29.7564894,-57.0867197,Brazil,BR,Rio Grande do Sul,RS,123480,71993,45459,4546,3,53,2,A,express,
Passos,Passos,-20.720836,-46.605426,Brazil,BR,Minas Gerais,MG,98752,71521,87880,8788,3,51,2,I,express,
Assis,Assis,-22.666667,-50.416667,Brazil,BR,São Paulo,SP,87471,70795,54547,5455,3,53,2,N,express,
Carpina,Carpina,-7.846039,-35.256438,Brazil,BR,Pernambuco,PE,165579,70689,89790,8979,3,53,2,A,express,
Tatuí,Tatuí,-23.346529,-47.846222,Brazil,BR,São Paulo,SP,93580,70292,53537,5354,3,53,2,A,express,
Linhares,Linhares,-19.393643,-40.058149,Brazil,BR,Espírito Santo,ES,105075,67751,78789,7879,3,54,2,A,express,
Tubarão,Tubarão,-28.480781,-49.015527,Brazil,BR,Santa Catarina,SC,92275,67245,85700,8570,5,80,2,N,express,
Ubá,Ubá,-21.118183,-42.94306,Brazil,BR,Minas Gerais,MG,97828,65569,78789,7879,3,52,2,N,express,
Ji-Paraná,Ji-Paraná,-10.833333,-61.966667,Brazil,BR,Rondônia,RO,65016,65016,56568,5657,3,52,2,A,express,
Itaituba,Itaituba,-4.216667,-56.016667,Brazil,BR,Pará,PA,92308,64756,89791,8979,3,54,2,A,express,
Santo Ângelo,Santo Ângelo,-28.3000481,-54.2669971,Brazil,BR,Rio Grande do Sul,RS,65420,64606,65659,6566,3,52,2,A,express,
Parintins,Parintins,-2.632757,-56.732798,Brazil,BR,Amazonas,AM,64428,64428,58588,5859,3,54,2,A,express,
Rio Largo,Rio Largo,-9.481869,-35.84637,Brazil,BR,Alagoas,AL,158545,63387,56566,5657,3,54,2,A,express,
Araguari,Araguari,-18.65064,-48.189398,Brazil,BR,Minas Gerais,MG,96565,63256,56567,5657,3,54,2,A,express,
Vilhena,Vilhena,-12.73635,-60.130931,Brazil,BR,Rondônia,RO,63231,63231,65661,6566,3,54,2,A,express,
Itaúna,Itaúna,-20.076647,-44.574877,Brazil,BR,Minas Gerais,MG,77400,63066,59597,5960,3,54,2,A,express,
Muriaé,Muriaé,-21.133333,-42.366667,Brazil,BR,Minas Gerais,MG,91173,62284,59597,5960,3,51,2,I,express,
São João da Boa Vista,São João da Boa Vista,-21.974499,-46.793944,Brazil,BR,São Paulo,SP,76540,60792,84947,8495,3,53,2,A,express,
Avaré,Avaré,-23.10544,-48.919067,Brazil,BR,São Paulo,SP,81285,60133,51517,5152,3,51,2,I,express,
Lavras,Lavras,-21.242429,-44.997852,Brazil,BR,Minas Gerais,MG,81472,59400,54547,5455,3,54,2,N,express,
Santa Rosa,Santa Rosa,-27.866667,-54.483333,Brazil,BR,Rio Grande do Sul,RS,59281,58957,59598,5960,3,51,2,A,express,
São João del Rei,São João del Rei,-21.134083,-44.256308,Brazil,BR,Minas Gerais,MG,78592,58871,85700,8570,3,53,2,A,express,
Ariquemes,Ariquemes,-9.9076522,-63.033069,Brazil,BR,Rondônia,RO,58096,58096,52528,5253,3,52,2,A,express,
Araxá,Araxá,-19.595459,-46.93688,Brazil,BR,Minas Gerais,MG,82595,57724,58587,5859,3,54,2,I,express,
Cruzeiro do Sul,Cruzeiro do Sul,-7.9609552,-72.7370575,Brazil,BR,Acre,AC,56862,56862,59598,5960,3,53,2,A,express,
Bragança,Bragança,-1.051948,-46.77015,Brazil,BR,Pará,PA,57163,56566,85701,8570,3,53,2,A,express,
Ponta Porã,Ponta Porã,-22.533333,-55.716667,Brazil,BR,Mato Grosso do Sul,MS,94331,55763,51517,5152,3,54,2,A,express,
Crato,Crato,-7.232173,-39.410949,Brazil,BR,Ceará,CE,273883,54416,54545,5455,3,52,2,A,express,
Crato,Crato,-7.483333,-63.033333,Brazil,BR,Amazonas,AM,273883,54416,51515,5152,3,52,2,A,express,
Santana,Santana,-0.042261,-51.168861,Brazil,BR,Amapá,AP,83927,53771,56567,5657,3,54,2,N,express,
Manacapuru,Manacapuru,-3.290776,-60.625954,Brazil,BR,Amazonas,AM,59102,52459,58588,5859,3,52,2,A,smart,
Jabuticabal,Jabuticabal,-21.25555,-48.320455,Brazil,BR,São Paulo,SP,69394,52167,87881,8788,3,54,2,A,express,
Pirapora,Pirapora,-17.337368,-44.927144,Brazil,BR,Minas Gerais,MG,60164,51656,78790,7879,3,54,2,N,express,
Itacoatiara,Itacoatiara,-3.142026,-58.443621,Brazil,BR,Amazonas,AM,51509,51509,65660,6566,3,54,2,A,express,
Itumbiara,Itumbiara,-18.412247,-49.214267,Brazil,BR,Goiás,GO,79582,51105,53537,5354,3,51,2,A,express,
Caçador,Caçador,-26.77567,-51.0120041,Brazil,BR,Santa Catarina,SC,63726,50585,51518,5152,3,53,2,A,express,
Coari,Coari,-4.093753,-63.139426,Brazil,BR,Amazonas,AM,53305,50490,78791,7879,3,54,2,N,express,
Araguaína,Araguaína,-7.189338,-48.205358,Brazil,BR,Tocantins,TO,50444,50444,59599,5960,3,53,2,A,express,
Valença,Valença,-13.372066,-39.072694,Brazil,BR,Bahia,BA,63231,49938,89792,8979,4,70,2,A,express,
Três Lagoas,Três Lagoas,-20.7866799,-51.7061247,Brazil,BR,Mato Grosso do Sul,MS,78712,49723,89791,8979,3,52,2,A,express,
São Mateus,São Mateus,-18.720196,-39.862631,Brazil,BR,Espírito Santo,ES,77117,49634,45460,4546,3,54,2,A,express,
Santa Inês,Santa Inês,-3.668593,-45.377182,Brazil,BR,Maranhão,MA,67424,49599,54548,5455,3,52,2,A,express,
Fernandópolis,Fernandópolis,-20.266667,-50.233333,Brazil,BR,São Paulo,SP,61931,49243,45461,4546,3,53,2,A,express,
Serrinha,Serrinha,-11.66113,-38.997617,Brazil,BR,Bahia,BA,56829,49078,45461,4546,3,53,2,A,express,
Cachoeira do Sul,Cachoeira do Sul,-30.0474778,-52.8905413,Brazil,BR,Rio Grande do Sul,RS,74694,49048,77779,7778,4,70,2,I,express,
Arcoverde,Arcoverde,-8.416667,-37.066667,Brazil,BR,Pernambuco,PE,57163,48969,89792,8979,3,54,2,A,express,
Barra do Corda,Barra do Corda,-5.503082,-45.236929,Brazil,BR,Maranhão,MA,48901,48901,54549,5455,3,53,2,A,express,
Telêmaco Borba,Telêmaco Borba,-24.326357,-50.61908,Brazil,BR,Paraná,PR,58880,48707,54548,5455,3,51,2,A,express,
Rio Verde,Rio Verde,-17.791957,-50.918933,Brazil,BR,Goiás,GO,48318,48318,53539,5354,3,53,2,A,express,
Itapeva,Itapeva,-23.980184,-48.875006,Brazil,BR,São Paulo,SP,62957,47691,85701,8570,3,53,2,A,express,
Ijuí,Ijuí,-28.383333,-53.916667,Brazil,BR,Rio Grande do Sul,RS,71202,46892,79787,7979,3,53,2,A,express,
Breves,Breves,-1.681558,-50.479573,Brazil,BR,Pará,PA,47164,46473,78791,7879,3,54,2,A,express,
Estância,Estância,-11.266667,-37.433333,Brazil,BR,Sergipe,SE,55654,45726,88891,8889,3,53,2,A,express,
Registro,Registro,-24.49421,-47.844913,Brazil,BR,São Paulo,SP,53273,45697,54549,5455,3,51,2,I,express,
Timbaúba,Timbaúba,-7.505335,-35.319293,Brazil,BR,Pernambuco,PE,57534,45121,53538,5354,3,53,2,A,express,
Tefé,Tefé,-3.356333,-64.696393,Brazil,BR,Amazonas,AM,51437,44942,56569,5657,3,54,2,A,express,
Goiana,Goiana,-7.563649,-34.996142,Brazil,BR,Pernambuco,PE,71549,43980,59600,5960,3,53,2,I,express,
Formosa,Formosa,-15.533333,-47.333333,Brazil,BR,Goiás,GO,81232,43939,52527,5253,3,52,2,N,express,
Capanema,Capanema,-1.1933054,-47.1828679,Brazil,BR,Pará,PA,47766,43896,59599,5960,3,53,2,A,express,
Catalão,Catalão,-18.179174,-47.941537,Brazil,BR,Goiás,GO,63544,43749,53538,5354,3,53,2,A,express,
Corumbá,Corumbá,-19.0016365,-57.6534316,Brazil,BR,Mato Grosso do Sul,MS,96520,43551,59597,5960,3,53,2,A,express,
Piraçununga,Piraçununga,-21.996345,-47.420963,Brazil,BR,São Paulo,SP,60413,42983,87881,8788,3,53,2,A,express,
